abandonar,'f. Ámbito más allá de la muerte'
fusionar,'m. Acción y efecto de disparar o dispararse'
fábrica,'intr. Emitir palabras'
fábula,'f. día período de horas'
fácil,'m. Ave rapaz de cerca de dos metros de envergadura con el cuello desnudo rodeado de un collar de plumas largas estrechas y flexibles cuerpo leonado remeras oscuras y una faja blanca a través de cada ala que se alimenta de carne muerta y vive en bandadas'
fémur,'m. Vehículo de transporte colectivo para trasladar personas generalmente dentro de las poblaciones'
fértil,'tr. Dicho de la persona que tiene autoridad o facultades para Resolver decidir'
fútbol,'tr. Penetrar el aire o hacerlo correr en algún sitio U. t. c. prnl.'
gabardina,'f. Sustancia viscosa e incristalizable que naturalmente o mediante incisiones fluye de diversos vegetales después de seca es soluble en agua e insoluble en el alcohol y el éter y que disuelta en agua sirve para pegar o adherir cosas'
gaita,'m. y f. En una obra teatral literaria o cinematográfica personaje principal de la acción'
gajo,'m. Conjunto de costumbres creencias artesanías canciones y otras cosas semejantes de carácter tradicional y popular'
galardón,'adj. Nuevo fresco o acabado de hacer'
galope,'adj. Dicho de una cosa Que se halla en su estado natural'
galán,'tr. Mover algo especialmente una bandera o un pañuelo formando ondas'
gambetear,'f. Establecimiento dotado de la maquinaria herramienta e instalaciones necesarias para la fabricación de ciertos objetos obtención de determinados productos o transformación industrial de una fuente de energía'
gamuza,'f. Espacio de tierra de labor que puede arar una yunta en un día'
ganado,'f. Trecho de camino de un recorrido determinado'
ganancia,'tr. Iniciar la combustión de algo U. t. c. prnl.'
garabatear,'m. Planta de la de la familia de las cingiberáceas con hojas radicales lanceoladas casi lineales flores en espiga de corola purpúrea sobre un escapo central de a cm de alto fruto capsular bastante pulposo y con varias semillas y rizoma del grueso de un dedo algo aplastado nudoso y ceniciento por fuera blanco amarillento por dentro de olor aromático y de sabor acre y picante como el de la pimienta y que se usa en medicina y como especia'
garaje,'intr. Dicho de una persona o de una cosa Elevarse en el espacio sin intervención de agentes físicos conocidos'
garantizar,'f. Lo que se come y bebe para nutrirse'
gasto,'f. Ingen. Azogue que en las minas argentíferas de se añade al mineral para facilitar el término de su trabajo en el buitrón'
gastronomía,'tr. Pronosticar adivinar profetizar'
gatear,'m. Concepto equivocado o juicio falso'
gatillo,'m. Conjunto de los vecinos de un municipio o solo de una población o de parte de ella'
gemir,'f. Lámina de hierro o acero estañada por las dos caras'
general,'tr. Pasar muchas veces algo sobre otra cosa con más o menos fuerza U. t. c. prnl.'
generar,'f. Calzado ligero y sin talón usado principalmente en países orientales y del norte de'
generosidad,'m. y f. Inform. jáquer.'
genital,'m. Instrumento hueco ancho por arriba y estrecho por abajo en forma de cono y rematado en un canuto que sirve para trasvasar líquidos'
gentileza,'f. Cualidad de dócil'
gerencia,'tr. Calmar por completo el hambre o la sed de alguien U. t. c. prnl.'
germinación,'tr. Sentir físicamente un daño un dolor una enfermedad o un castigo U. t. c. intr.'
gestación,'intr. Andar caminar sin dirección determinada'
gestión,'m. Conocimiento que se da generalmente detallado de un hecho'
gimotear,'m. Cobertizo grande generalmente abierto para guarecer aparatos de aviación o dirigibles'
glacial,'m. Ret. Combinación en una misma estructura sintáctica de dos palabras o expresiones de significado opuesto que originan un nuevo sentido como en'
glamour,'f. Cada uno de los vasos o conductos por donde retorna la sangre al corazón'
glasear,'adj. Que sofoca'
gloria,'tr. Sentir la novedad de algo echando de menos lo que resulta habitual'
glosar,'f. Noticia comentada acerca de una persona muerta hace poco tiempo'
gobernar,'f. Maña y destreza o artificio para hacer algo'
golpe,'f. Danza popular de y una de cuyas figuras se caracteriza por llevar los danzantes una vela encendida en la mano'
golpista,'f. Acción de ungir o untar'
goma,'adj. Que no guarda las formas y reglas prevenidas'
gotear,'adj. famoso conocido y admirado por su excelencia'
gozar,'adj. Que consta de una sola célula'
grabar,'f. Parte inferior del pie'
gradual,'tr. Trazar o formar el plan de una obra'
granate,'m. Género de películas del lejano'
grandilocuencia,'f. Instrumento para segar a ras de tierra constituido por una cuchilla alargada curva y puntiaguda sujeta a un mango largo que se maneja con las dos manos'
granizo,'m. Cada una de las líneas generalmente rectas que parten del punto en que se produce una determinada forma de energía y señalan la dirección en que esta se propaga'
granjear,'tr. Dicho de una superficie lisa y brillante como el agua un espejo etc.: Formar la imagen de algo o de alguien  U. t. c. prnl.'
gratificación,'f. Pieza de madera plana de poco grueso y cuyas dos caras son paralelas entre sí'
gratitud,'tr. Admitir en un país como si de él fuera natural a una persona extranjera concediéndole los derechos e imponiéndole los deberes de los ciudadanos de ese país'
gravar,'adj. galano.'
grave,'m. Materia textil que se obtiene de la corteza interior de una planta de la familia de las tiliáceas'
gravitar,'m. Objeto fabricado que se destina a un uso manual y doméstico U. m. en pl.'
graznido,'m. Tela fuerte de seda o lana y con dibujos formados por el tejido'
gris,"'m. Arg., Bol., Chile  conejillo de Indias mamífero roedor'"
grito,'adj. Dicho de una planta Criada naturalmente y sin cultivo'
grupal,'m. Árbol de de la familia de las fitolacáceas con la corteza gruesa y blanda madera fofa copa muy densa hojas alternas elípticas acuminadas con pecíolos largos y flores dioicas en racimos más largos que las hojas'
gruñido,'tr. Dejar caer intencionadamente algo'
grácil,'m. Ave apterigiforme del tamaño de una gallina que habita en'
guadaña,'tr. Señalar el precio de algo'
guante,'tr. Hacer líquido algo sólido o gaseoso U. t. c. prnl.'
guardar,'adj. De forma de hexágono o semejante a él'
guarecer,'m. Animal fabuloso que fingieron los antiguos poetas de forma de caballo y con un cuerno recto en mitad de la frente'
guerra,'tr. Poner algo junto a otra cosa o inmediata a ella U. t. c. prnl.'
guillotina,'f. Pelo de las ovejas y de otros animales que se hila y sirve para tejer'
guiso,'f. Porción de hilo estambre seda u otra materia hilada que para coser algo suele meterse por el ojo de una aguja'
guiñar,'m. Cuerpo redondeado de tamaño y dureza variables que producen las hembras de las aves o de otras especies animales y que contiene el germen del embrión y las sustancias destinadas a su nutrición durante la incubación'
gustar,'tr. Extraer el zumo o líquido de una cosa apretándola o retorciéndola'
guía,'tr. desalentar quitar el ánimo U. t. c. prnl.'
habilidad,'tr. realizar llevar a cabo algo U. t. c. prnl.'
habilitar,'m. Situación en la que es necesario elegir entre dos opciones igualmente buenas o malas'
habitación,'adj. mortífero.'
habitar,'f. hierba.'
habla,'tr. Hacer que algo sirva para un fin'
hablante,'f. Acción y efecto de fingir'
hablar,'adj. Que merece ser lamentado o es digno de llorarse'
hacer,'m. coloq. Persona que por su figura ridícula y porte extravagante sirve de diversión a los demás'
hache,'tr. Indemnizar reparar compensar un daño perjuicio o agravio U. t. c. prnl.'
hachís,'tr. Sacar filo o hacer más delgado o agudo el de un arma o instrumento'
hacia,'adj. Verosímil o que se funda en razón prudente'
hacienda,'intr. Echar flor U. t. c. tr.'
hacinamiento,'f. Acción y efecto de gestionar'
hacker,'adj. Que sirve como tipo modelo norma patrón o referencia'
hada,'f. Ser fantástico que se representa bajo la forma de mujer a quien se atribuyen poderes mágicos'
hagiografía,'tr. entremeter. U. t. c. prnl.'
halago,'tr. Dar noticia de algo o hacerlo saber con propósito cierto'
halcón,'f. Local donde se hace se ordena o trabaja algo'
halo,'tr. Torcer o inclinar algo parcial o totalmente de modo que caiga generalmente haciendo salir su contenido  U. t. c. prnl.'
hamaca,'m. Acción de volar'
hambre,'tr. Traspasar a alguien por el precio convenido la propiedad de lo que se posee'
hambruna,'f. Arte de preparar una buena comida'
hampa,'m. Variedad de un idioma que no alcanza la categoría social de lengua'
hangar,'tr. Dejar solo algo o a alguien alejándose de o dejando de cuidarlo'
haraganear,'adj. Naturalmente inclinado al trato y relación con las personas o que gusta de'
harapo,'m. Prenda o conjunto de prendas exteriores con que se cubre el cuerpo'
harina,'adj. Dicho de una cosa Que pesa U. t. c. s. m.'
hastío,'tr. Hacer que un problema una duda una dificultad o algo que los entraña dejen de existir  U. t. c. prnl.'
hazmerreír,'adj. Propio o privativo de cada persona o cosa'
hebilla,'f. Aquello que alguien está obligado a hacer'
hebra,'f. Aflicción congoja ansiedad'
hectárea,'tr. Mar. Hacer subir algo tirando de la cuerda de que está colgado'
hegemonía,'tr. Intentar captar la atención de alguien mediante voces ruidos o gestos'
helada,'tr. Destinar algo a un fin determinado'
helicóptero,'f. Cima o parte superior de un monte'
helio,'f. Cualidad de bello'
hematoma,'f. Tristeza o pesar del bien ajeno'
hembra,'f. Falta de luz para percibir las cosas'
hemisferio,'f. Acción y efecto de gestar o gestarse'
hendidura,'f. Perturbación anímica producida por una idea fija'
heno,'f. Fobia a lo extranjero o a los extranjeros'
hepatitis,'f. Arte de modelar tallar o esculpir en algunos materiales figuras en tres dimensiones'
heredar,'tr. Considerar como cierto o real algo a partir de los indicios que se tienen'
herencia,'tr. Imaginar algo por conjeturas fundadas en apariencias o indicios'
herida,'f. Planta americana de la familia de las orquidáceas con tallos muy largos verdes sarmentosos y trepadores hojas enteras ovales u oblongas flores grandes verdosas y fruto capsular en forma de judía de unos cm de largo por uno de ancho que contiene muchas simientes menudas'
hervir,'m. Yema gruesa por lo común subterránea cuyas hojas están cargadas con sustancias de reserva'
hexagonal,'tr. Dar estructura formal a una proposición o a un discurso'
hiato,'m. Parte inferior o escalón por lo común de piedra y contrapuesto al dintel en la puerta o entrada de una casa'
hibernación,'intr. Dar suspiros'
hidratación,'m. Arg.  Lugar cubierto de maleza'
hielo,'f. Porción de tierra rodeada de agua por todas partes'
hilada,'m. Pez teleósteo anacanto de cuerpo simétrico con tres aletas dorsales y dos anales y una barbilla en la sínfisis de la mandíbula inferior'
hincar,'adj. Natural del país de U. t. c. s.'
hipnosis,'f. Geom. Sucesión continua e indefinida de puntos'
hipoteca,'f. Acción de marchar'
hocico,'adj. No probable'
hojalata,'tr. Poner algo fuera del lugar donde estaba encerrado o contenido'
hojuela,'m. Acción y efecto de saquear'
hola,'tr. Arrugar la frente y las cejas en señal de desabrimiento o de ira'
hollín,'m. Ling. Vocablo acepción o giro nuevo en una lengua'
hombre,'f. Impulso irresistible que hace que las causas obren infaliblemente en cierto sentido'
hombro,'m. coloq. Animal pequeño especialmente un insecto'
homeopatía,'adj. Contrario a la ley'
horror,'m. Acción de imperar mandar'
hospital,'f. Acción y efecto de fracturar'
hostil,'m. Cosa arcana o muy recóndita que no se puede comprender o explicar'
hotel,'m. Tira especialmente de cuero y en general provista de una hebilla que se usa para sujetar o ceñir a la cintura una prenda de vestir'
huerta,'f. Principio moral que lleva a determinar que todos deben vivir honestamente'
huevo,'tr. Atar ligar o cubrir con una venda'
huir,'tr. Ir después o detrás de alguien U. t. c. intr.'
humanidad,'f. Danza cantada popular del noroeste de la Argentina'
humildad,'tr. Representar algo en una superficie con líneas y colores'
humor,'m. Cuba  Planta de la familia de las palmas con el tronco delgado y hojas plegadas sin espinas cuyas fibras se emplean para tejer sombreros'
huracán,'intr. Debilitarse ir perdiendo fuerza'
hurto,'tr. Prestar atención a lo que se oye'
hábil,"'f. Calzado cómodo y ligero de paño piel etc., y con suela delgada que se usa para estar en casa'"
hábito,'intr. Pasar de dentro afuera U. t. c. prnl.'
hélice,'tr. Hacer notorio o patente por televisión radio periódicos o por otros medios algo que se quiere hacer llegar a noticia de todos'
hígado,'f. Carencia de movimientos'
idea,'tr. Dejar yermo un terreno'
identificar,'adj. Que se mueve con dificultad'
ideología,'f. Acción y efecto de narrar'
idolatrar,'m. controversia discusión'
iglesia,'adj. Que repugna'
iglú,'m. Palo horizontal suspendido de dos cuerdas por sus extremos y que sirve para ejercicios gimnásticos'
ignorante,'m. Genio índole condición especialmente cuando se manifiesta exteriormente'
igualdad,'tr. Cargar pesar sobre alguien o algo'
ilegal,'tr. Guardar algo para lo futuro'
iluminar,'f. Lente de aumento generalmente con un mango'
ilusión,'f. Cualidad de nuevo'
imaginar,'adj. Perteneciente o relativo al golpe de Estado'
imitar,'intr. Alcanzar el fin o término de un desplazamiento'
impaciencia,'f. Presteza agilidad'
impecable,'m. Grito de algunas aves como el cuervo el grajo el ganso etc.'
impedir,'adj. Que ignora o desconoce algo'
imperio,'tr. Estorbar el paso cerrar un conducto o camino'
impermeable,'m. Pequeño aparato empleado para llamar o avisar mediante la emisión rápida de sonidos intermitentes'
importante,'tr. Introducir por la boca la comida bebida o medicamentos'
impregnar,'f. naturaleza humana.'
imprimir,'f. Cuerda retorcida o cinta tejida hecha de filamentos combustibles generalmente de algodón que se pone en las piqueras o mecheros de algunos aparatos del alumbrado y dentro de las velas y bujías'
improbable,'adj. Que se mueve por sí mismo Dicho principalmente de los vehículos que pueden ser guiados para marchar por una vía ordinaria sin necesidad de carriles y llevan un motor generalmente de combustión interna o eléctrico que los propulsa U. m. c. s. m.'
improvisación,'adj. Que es adecuado o está destinado tanto para los hombres como para las mujeres'
imprudente,'m. y f. Persona que practica el yudo'
impulso,'adj. Perteneciente o relativo a la tradición'
inaugurar,'m. laberinto cosa confusa y enredada'
incalculable,'intr. Tratar y comerciar comprando y vendiendo o cambiando géneros mercancías o valores para aumentar el caudal'
incapaz,'f. Polvo que resulta de la molienda del trigo o de otras semillas'
incipiente,'tr. Invertir el orden regular de algo'
inclinación,'f. Cualidad de pasivo'
incoherente,'m. Facultad por la que el ser humano puede distinguir el bien del mal y lo verdadero de lo falso'
increíble,'adj. Que profesa el nihilismo U. t. c. s.'
indagación,'m. Instrumento de madera al cual formando yunta se uncen por el cuello las mulas o por la cabeza o el cuello los bueyes y en el que va sujeta la lanza o pértigo del carro el timón del arado etc.'
indecisión,'tr. nublar ofuscar o confundir U. t. c. prnl.'
indicio,'adj. Perteneciente o relativo al espacio'
indispensable,'f. Instrumento compuesto de un tubo que termina por su parte anterior en un cañoncito delgado y dentro del cual juega un émbolo por medio del que asciende primero y se arroja o inyecta después un líquido cualquiera'
individual,'f. Planta de tropical de la familia de las liliáceas con tallo arborescente cilíndrico lleno de cicatrices de hasta dos metros de altura coronado por un penacho de hojas largas gruesas rígidas y ensiformes que tiene flores blancas casi globosas colgantes de un escapo largo y central y raíz gruesa de la que se saca harina alimenticia y que se cultiva en como planta de adorno'
indulgencia,'m. Instrumento que sirve para medir el tiempo'
industria,'f. Fábrica de yeso'
infantil,'tr. Hacer síntesis de algo'
inferir,'tr. Poner torpe U. t. c. prnl.'
inflación,'intr. Despedir aire con violencia por la boca alargando los labios un poco abiertos por su parte media U. t. c. tr.'
informal,'m. Supuesto gigante antropomorfo del cual se dice que vive en el'
infringir,'f. Capacidad de actuar propia de los seres vivos y de sus órganos y de las máquinas o instrumentos'
ingenio,'f. Serie de príncipes soberanos pertenecientes a una familia'
ingerir,'m. Premio o recompensa de los méritos o servicios'
ingrediente,'m. Estipendio que gana el trabajador por cada día de trabajo'
inhibir,'m. Planta anual de la familia de las compuestas que alcanza un metro de altura de hojas grandes y espinosas como las de la alcachofa flores azules en cabezuela y pencas que se comen crudas o cocidas después de aporcada la planta para que resulten más blancas tiernas y sabrosas'
iniciar,'f. Rasgo o nota que se pone o hay en las cosas para darlas a conocer y distinguirlas de otras'
inmunidad,'m. Movimiento giratorio y rápido del aire el agua el polvo el humo etc.'
inmóvil,'m. Especie de sable o alfanje que usan los orientales'
inocente,'tr. Impedir o reprimir el ejercicio de facultades o hábitos'
inscribir,'adj. descuidado. U. t. c. s.'
insecto,'m. Caso o hecho sucedido en otro tiempo que se propone o bien para que se imite y siga si es bueno y honesto o para que se evite si es malo'
insignificante,'f. Aparato que sirve para pesar'
insistente,'tr. Dicho de quien ha sido perjudicado por Remitir la deuda ofensa falta delito u otra cosa'
institucional,'tr. Recibir algo a la muerte de su poseedor por disposición testamentaria o legal'
instruir,'f. Cualidad de generoso'
intención,'intr. Hacer gambetas'
intensidad,'m. Uno de los centros nerviosos constitutivos del encéfalo existente en todos los vertebrados y situado en la parte anterior y superior de la cavidad craneal'
interferir,'tr. Impedir o dificultar la consecución de un propósito'
internet,'adj. Perteneciente o relativo a las plantas'
interrumpir,'f. Perforación o desgarramiento en algún lugar de un cuerpo vivo'
intervenir,'f. Animal del sexo femenino U. t. en apos.'
intimidad,'m. Concesión otorgada por la autoridad competente a una empresa para que esta aproveche con carácter exclusivo alguna industria o comercio'
intolerante,'tr. Oler con ahínco y persistentemente'
introducir,'intr. Dicho de una persona Emitir sonidos que expresan dolor pena o placer sexual'
inusual,'m. Ecol. Sistema ecológico constituido por un medio y los seres vivos que habitan en él así como por sus relaciones mutuas'
invasión,'m. Tela que se fabrica de lino cáñamo o algodón'
inverosímil,'tr. Iluminar algo ponerlo claro y luciente'
invertir,'m. Sistema político basado en la existencia legal y el gobierno de un solo partido'
investigar,'m. Lugar dotado de los medios necesarios para realizar investigaciones experimentos y trabajos de carácter científico o técnico'
invierno,'m. Voz muy esforzada y levantada'
invisible,'adj. p. us. Que mana o brota'
invitación,'f. Dolor de cabeza recurrente e intenso con hipersensibilidad a los estímulos externos generalmente localizado en un lado de la cabeza y a veces acompañado de náuseas y vómitos'
invocar,'f. Cualidad de duro'
ir,'adj. Preclaro ilustre generoso'
ironía,'tr. Restituir a alguien la salud que había perdido'
irracional,'f. Acción y efecto de inclinar o inclinarse'
irregular,'tr. Expresar en una lengua lo que está escrito o se ha expresado antes en otra'
irritante,'f. Acción y efecto de durar'
isla,'tr. Hacer que una cosa esté al lado de otra o en contacto con ella formando un todo'
izar,'f. Cualidad de válido'
jabón,'tr. Ir con ímpetu sobre alguien o sobre algo  U. t. c. intr.  U. t. en sent. fig.'
jacarandá,'adj. Perteneciente o relativo al narcisismo'
jactancia,'tr. coloq. halar tirar de un cabo'
jacuzzi,'tr. Reproducir algo mediante fotocopias'
jadear,'tr. Sacar a la playa y poner en seco una embarcación para resguardarla de la resaca o de los golpes de mar o también para carenarla'
jalar,'tr. Quitar a alguien o algo del lugar que ocupaba o prescindir de él o de'
jalonar,'m. Cosmético para ennegrecer los bordes de los párpados las pestañas o las cejas'
jamón,'tr. Acompañar a alguien en un acto público'
jaqueca,'f. Estado producido por hipnotismo'
jarabe,'adj. De una sola dirección'
jarana,'m. Estupefaciente obtenido de la resina del cáñamo índico previamente desecado'
jardín,'m. Acción y efecto de hacinar'
jarrón,'intr. Dicho de un caballo Ir al trote'
jaspe,'tr. Evitar con astucia una dificultad o una obligación'
jaula,'adj. Contrario o enemigo'
jauría,'m. Sentimiento intenso del ser humano que partiendo de su propia insuficiencia necesita y busca el encuentro y unión con otro ser'
jazmín,'f. Recompensa pecuniaria de un servicio eventual'
jazz,'adj. Que termina o cierra'
jean,'m. Instrumento musical de viento de metal con boquilla de madera caña y varias llaves que es de invención moderna y muy usado principalmente en las bandas militares y orquestas de'
jengibre,'f. Narración de sucesos fantásticos que se transmite por tradición'
jeque,'intr. Dirigirse mentalmente o de palabra a una divinidad o a una persona sagrada frecuentemente para hacerles una súplica'
jerarca,'m. Instrumento en forma de pala larga y estrecha que sirve para mover las embarcaciones haciendo palanca en el agua'
jerez,'tr. Hacer opaco U. t. c. prnl.'
jeringa,'adj. Honesto justo debido'
jesuita,'tr. Levantar colgar o detener algo en alto o en el aire'
jinete,'tr. Mover algo de una parte a otra U. t. c. prnl.'
jirón,'adj. Que tiene gran resistencia'
jojoba,'tr. Hacer temblar algo'
jolgorio,'intr. Dicho de una pretensión o de un proyecto frustrarse malograrse'
jopo,'f. Alabanza propia desordenada y presuntuosa'
jornada,'tr. Derretir y licuar los metales los minerales u otros cuerpos sólidos U. t. c. intr. y c. prnl.'
jornal,'adj. Perteneciente o relativo al varón'
joven,'f. Propiedad de todo ser en virtud de la cual no puede dividirse sin que su esencia se destruya o altere'
joya,'f. Amistad íntima'
jubilación,'adj. Dicho de un color De tono suave'
judicial,'f. Materia muy seca comúnmente de trapo quemado cardo u hongos secos y preparada de suerte que cualquier chispa prenda en ella'
juego,'tr. Producir o causar algo   Era'
juerga,'tr. Acoger a alguien ponerlo a cubierto de persecuciones o de ataques preservarlo de algún mal'
jueves,'m. Vapor que con la frialdad de la noche se condensa en la atmósfera en muy menudas gotas las cuales aparecen luego sobre la superficie de la tierra o sobre las plantas'
jugarreta,'m. Proyecto o apunte general previo a la ejecución de una obra artística'
juguetear,'tr. Poner un plano en la posición horizontal justa'
juicio,'f. Marca o señal que se pone en algo para reconocerlo o para darlo a conocer'
juntar,'tr. Hacer cambiar de forma a alguien o algo U. t. c. prnl.'
juramento,'adj. Que no se puede calcular'
jurar,'f. Parte más pequeña y menuda del pan que suele saltar o desmenuzarse al partirlo'
jurisprudencia,'tr. Ir detrás de alguien o de algo seguirlo en el tiempo o en el espacio  Era'
justicia,'f. Madero largo y grueso que sirve por lo regular para formar los techos en los edificios y sostener y asegurar las fábricas'
justificar,'m. Pública estima de alguien o de algo fruto de su mérito'
justipreciar,'tr. Dicho de una persona Poner su firma'
juvenil,'intr. Sufrir la acción del fuego'
juventud,'m. Ocupación negocio tarea que ha de hacerse U. m. en pl.'
juzgar,'adj. Que sirve para conservar o restablecer la salud corporal'
júbilo,'tr. Deducir algo o sacarlo como conclusión de otra cosa'
ka,'tr. Poner acotaciones o apostillas al margen de un texto'
kabuki,'f. coloq. Jugada mal hecha y sin conocimiento del juego'
kappa,'adj. Dicho de un color Semejante al de la ceniza o el acero y que resulta de mezclar el blanco y el negro U. t. c. s. m.'
karaoke,'f. Muro u obra defensiva que rodea una plaza fuerte o protege un territorio'
karma,'intr. Echar los garabatos para agarrar o asir algo y sacarlo de donde está metido'
kebab,'adj. Obligado a responder de algo o por alguien U. t. c. s.'
kendo,'tr. Emplear útilmente algo hacerlo provechoso o sacarle el máximo rendimiento'
kermés,'adj. Sobresaliente destacado'
kevlar,'tr. Sostener o llevar sobre sí una carga o peso'
kibutz,'f. Cualidad de legítimo'
kiliárea,'adj. Poseído o lleno de alegría Juan'
kilobyte,'tr. Representar las palabras o las ideas con letras u otros signos trazados en papel u otra superficie U. t. c. intr.'
kilocaloría,'m. Acción de usar'
kilográmetro,'tr. Provocar o causar fanatismo'
kilotón,'tr. Captar atraer conseguir'
kilómetro,'tr. Librar de un riesgo o peligro poner en seguro U. t. c. prnl.'
kimono,'m. Terreno donde se cultivan plantas con fines ornamentales'
kinesiología,'tr. Coger o asir con la mano algo'
kirsch,'f. Placer muy intenso del ánimo'
kiwi,'f. Arma de fuego portátil con uno o dos cañones que dispara cartuchos o perdigones y suele utilizarse para cazar'
koala,'tr. Pedir o exigir algo con urgencia o apremio'
kohl,'tr. Dicho de una cosa Ser por naturaleza imitación o convenio representación indicio o signo de otra cosa distinta'
koiné,'tr. Batir y dar golpes con el martillo'
kufiya,'adj. Que puede reprocharse o es digno de reproche'
káiser,'m. Ocupación habitual'
kéfir,'adj. Perteneciente o relativo a la Edad Media'
kínder,'f. Lista o faja'
laberinto,'adj. Digno de ser abominado'
labio,'tr. Dividir algo o separar sus partes con algún instrumento cortante'
laboratorio,'m. Elemento químico gaseoso de núm. atóm. incoloro inodoro insípido y muy reactivo presente en todos los seres vivos esencial para la respiración y para los procesos de combustión que forma parte del agua de los óxidos y de casi todos los ácidos y sustancias orgánicas y constituye casi una quinta parte del aire atmosférico en su forma molecular 2 Símb.'
ladear,'f. Formación en línea'
ladrido,'tr. Poner blando algo U. t. c. prnl.'
ladrillo,'adj. Perteneciente o relativo al pueblo'
lamentable,'f. Cualidad de positivo'
lana,'adj. Perteneciente o relativo a la razón'
languidecer,'f. Máquina inventada en para decapitar a los reos de muerte'
lanzar,'tr. Dicho de un juez o un tribunal Determinar si el comportamiento de alguien es contrario a la ley y sentenciar lo procedente'
lastimar,'f. Conjunto de perros mandados por el mismo perrero que levantan la caza en una montería'
lata,'f. Fracción ligera del petróleo natural obtenida en la destilación de la gasolina como una parte de esta cuyas variedades se usan como materia prima en la petroquímica y algunas como disolventes'
lateral,'adj. Que produce comezón semejante a las picaduras de ortiga'
latir,'m. Proposición tenida por cierta y como principio innegable'
laucha,'tr. Representar en la mente la imagen de algo o de alguien  U. t. c. prnl.'
leal,'f. Gana y necesidad de comer'
lechuga,'m. Puesta del sol o de otro astro al trasponer el horizonte'
lectura,'tr. Hacer viejo a alguien o algo'
legalizar,'intr. Rehuir el trabajo'
legible,'f. Derecho real que grava bienes materiales sujetándolos a responder del cumplimiento de una obligación dineraria'
legislar,'tr. Ocasionar daño o menoscabo material o moral U. t. c. prnl.'
legitimidad,'f. Pena que una ley o un reglamento establece para sus infractores'
lencería,'m. Parte del cuerpo humano en donde se articula el pie con la pierna'
lentitud,'f. Árbol de de la familia de las meliáceas que alcanza unos m de altura con tronco recto y grueso hojas compuestas flores pequeñas y blancas en panoja colgante y fruto capsular leñoso semejante a un huevo de pava cuya madera es muy estimada'
lesión,'m. Conjunto de todo lo existente'
letal,'tr. Hacer líquida una sustancia sólida o gaseosa U. t. c. prnl.'
letra,'adj. Dicho de un animal doméstico Que huye al campo y se hace montaraz'
levantar,'m. Madero piedra o columna colocada verticalmente para servir de apoyo o de señal'
levar,'tr. Penetrar las partículas de un cuerpo en las de otro fijándose por afinidades mecánicas o fisicoquímicas  U. t. c. prnl.'
levitar,'f. Determinación de la voluntad en orden a un fin'
ley,'f. Conjunto de preguntas tipificadas dirigidas a una muestra representativa de grupos sociales para averiguar estados de opinión o conocer otras cuestiones que les afectan'
leyenda,'tr. Manifestar ligera y jactanciosamente algo'
liberación,'adj. Impenetrable al agua o a otro fluido'
librar,"'f. Arg., Bol., Par., Perú  Culebra venenosa que sobrepasa el metro de longitud y cuya coloración es parda con manchas más oscuras que alternan sobre el dorso y los flancos'"
libro,'adj. De un solo miembro o elemento'
licenciatura,'tr. Dicho de quien tiene autoridad competente Dar su consentimiento para que otros hagan o dejen de hacer algo'
licuar,'m. Mec. p. us. Unidad de trabajo mecánico o esfuerzo equivalente al capaz de levantar kilogramo a metro de altura'
liderar,'intr. Desplazarse involuntariamente sobre una superficie lisa o viscosa sin dejar de rozarla normalmente con alteración del equilibrio  U. t. c. prnl.'
lidiar,'adj. No coherente'
lienzo,'f. Gana y necesidad de beber'
ligar,'f. Persona o animal sacrificado o destinado al sacrificio'
ligereza,'tr. Causar sorpresa la vista o consideración de algo extraordinario o inesperado'
limar,'tr. Quitar la suciedad o inmundicia de alguien o de algo U. t. c. prnl. U. t. en sent. fig.'
limpiar,'m. Bañera para hidromasaje'
limítrofe,'adj. Que tiene apariencia de verdadero'
linchar,'adj. Que concierne o corresponde al individuo persona cuyo nombre se ignora'
lingote,'intr. Mudar de dirección en la marcha de un automóvil u otro vehículo semejante'
liquidar,'f. Inexistencia total o carencia absoluta de todo ser  Era u. menos c. m.'
listar,'tr. Tomar algo separándolo y apartándolo de otras cosas o del lugar o sitio en que estaba'
litigar,'m. y f. Persona alborotada y de poco juicio U. t. c. adj.'
llamar,'m. Desvergüenza en el mentir o en la defensa y práctica de acciones o doctrinas vituperables'
llanto,'intr. Quedar victorioso'
llave,'f. Declaración o exposición de cualquier materia doctrina o texto con palabras claras o ejemplos para que se haga más perceptible'
llegar,'m. Parte más o menos saliente de la cara de algunos animales en que están la boca y las narices'
llenar,'f. Planta anual de la familia de las solanáceas de a cm de altura ramosa con hojas grandes aovadas de color verde casi cubiertas de un polvillo blanco y llenas de aguijones flores grandes y de color morado y fruto aovado de diez a doce centímetros de largo cubierto por una película morada y lleno de una pulpa blanca dentro de la cual están las semillas'
llorar,'intr. Ir o moverse hacia arriba'
lluvia,'tr. Celebrar algo con una fiesta u otra manifestación de alegría o agrado'
localizar,'tr. Acometer y comenzar una obra un negocio un empeño especialmente si encierran dificultad o peligro'
locuaz,'f. Cualidad de luminoso'
locura,'f. Proyectil de forma esférica o cilíndrico ojival generalmente de plomo o hierro'
logro,'tr. Representar algo fingiendo o imitando lo que no es'
lubricar,'adj. Que no es verosímil'
lucha,'tr. Ir a ver a alguien en el lugar en que se halla'
lucir,'f. Primero y más obvio de los actos del entendimiento que se limita al simple conocimiento de algo'
